title,description,link,category
ASISTENT/ASISTENTICA U PROIZVODNJI,"Opis posla: ASISTENT/ASISTENTICA U PROIZVODNJI, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 06.03.2016, Mjesto rada: VARAŽDIN, Općina: VARAŽDIN, Županija: VARAŽDINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74942593,Stručnjaci iz područja informatike i tehničkih znanosti
ASISTENT/ICA,"Opis posla: ASISTENT/ICA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 01.04.2016, Mjesto rada: ZAGREB, Općina: GRAD ZAGREB, Županija: GRAD ZAGREB",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75071451,Stručnjaci iz područja informatike i tehničkih znanosti
CAD TEHNICAR,"Opis posla: <P>TRAZIMO CAD TEHNICARA, ZA RAD U SPACECLAIM PROGRAMU, 2D/3D MODELIRANJE. POTREBNO PRIJASNJE ISKUSTVO OD MIN 6MJESECI.&amp;amp;#160;POTREBNO ZNANJE ENGLESKOG JEZIKA. MAILOVE I ZIVOTOPISE SLATI NA ENGLESKOM JEZIKU.&amp;amp;#160;</P>, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 31.03.2016, Mjesto rada: DUBROVNIK, Općina: DUBROVNIK, Županija: DUBROVAČKO-NERETVANSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74784227,Stručnjaci iz područja informatike i tehničkih znanosti
DEŽURNI DJELATNIK/DJELATNICA IZVORIŠTA I,"Opis posla: DEŽURNI DJELATNIK/DJELATNICA IZVORIŠTA I, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 11.03.2016, Mjesto rada: LOBOR, Općina: LOBOR, Županija: KRAPINSKO-ZAGORSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74856478,Stručnjaci iz područja informatike i tehničkih znanosti
DIPL. INŽ. ELEKTROTEHNIKE S DRŽAVNIM ISPITOM,"Opis posla: OVLAŠTENI/A DIPL. INŽ. ELEKTROTEHNIKE S DRŽAVNIM ISPITOM, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 12.03.2016, Mjesto rada: ZAPREŠIĆ, Općina: ZAPREŠIĆ, Županija: ZAGREBAČKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74756267,Stručnjaci iz područja informatike i tehničkih znanosti
DIPL. INŽENJER GRAĐEVINARSTVA (M/Ž),"Opis posla: <BR />, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 15.03.2016, Mjesto rada: ZAGREB, Općina: GRAD ZAGREB, Županija: GRAD ZAGREB",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75163984,Stručnjaci iz područja informatike i tehničkih znanosti
DIPL.ING.GRAĐEVINARSTVA-VODITELJ GRADILIŠTA M/Ž,"Opis posla: DIPL.ING.GRAĐEVINARSTVA-VODITELJ GRADILIŠTA&amp;amp;#160;M/Ž, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 31.03.2016, Mjesto rada: GORIČAN, Općina: GORIČAN, Županija: MEĐIMURSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=72971618,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER/INŽENJERKA ELEKTROTEHNIKE,"Opis posla: DIPLOMIRANI INŽENJER/INŽENJERKA ELEKTROTEHNIKE, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 11.03.2016, Mjesto rada: BEDEKOVČINA, Općina: BEDEKOVČINA, Županija: KRAPINSKO-ZAGORSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74696680,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI GRAFIČKI DIZAJNER,"Opis posla: <P>TRAŽIMO KANDIDATA ZA RAD NA STRUČNOM OSPOSOBLJAVANJU BEZ ZASNIVANJA RADNOG ODNOSA ZA ZANIMANJE DIP.ING.GRAFIČKE TEHNOLOGIJE ( GRAFIČKI DIZAJNER, INTERNET, MULTIMEDIJA, DIZAJN I SL.</P>, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 06.03.2016, Mjesto rada: SPLIT, Općina: SPLIT, Županija: SPLITSKO-DALMATINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74924487,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER - ELEKTRO PROJEKTANT (M/Ž),"Opis posla: ELEKTRO PROJEKTANT, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 02.04.2016, Mjesto rada: ZADAR, Općina: ZADAR, Županija: ZADARSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74193508,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER / INŽENJERKA ELEKTROTEHNIKE-VODITELJ OBJEKATA,"Opis posla: DIPLOMIRANI INŽENJER / INŽENJERKA ELEKTROTEHNIKE-VODITELJ OBJEKATA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 10.03.2016, Mjesto rada: SPLIT, Općina: SPLIT, Županija: SPLITSKO-DALMATINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75189022,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER / INŽENJERKA ELEKTROTEHNIKE-VODITELJ OBJEKATA,"Opis posla: DIPLOMIRANI INŽENJER / INŽENJERKA ELEKTROTEHNIKE-VODITELJ OBJEKATA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 10.03.2016, Mjesto rada: SPLIT, Općina: SPLIT, Županija: SPLITSKO-DALMATINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75190398,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER / INŽENJERKA GRAĐEVINE,"Opis posla: DIPLOMIRANI INŽENJER / INŽENJERKA GRAĐEVINE, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 16.03.2016, Mjesto rada: SPLIT, Općina: SPLIT, Županija: SPLITSKO-DALMATINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75158025,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER ARHITEKTURE (M/Ž),"Opis posla: <BR />, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 21.03.2016, Mjesto rada: ZADAR, Općina: ZADAR, Županija: ZADARSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74898647,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER ELEKTROTEHNIKE M/Ž,"Opis posla: <BR />, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 07.03.2016, Mjesto rada: DUBROVNIK, Općina: DUBROVNIK, Županija: DUBROVAČKO-NERETVANSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75238068,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER GRAĐEVINE ILI INŽENJER GRAĐEVINE M/Ž,"Opis posla: <BR />, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 04.04.2016, Mjesto rada: NJEMAČKA, Općina: NJEMAČKA, Županija: NJEMAČKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74595667,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER POMORSKOGA PROMETA (M/Ž),"Opis posla: DIPLOMIRANI INŽENJER POMORSKOGA PROMETA (M/Ž), Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 10.03.2016, Mjesto rada: OREBIĆ, Općina: OREBIĆ, Županija: DUBROVAČKO-NERETVANSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75169083,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER PREHRAMBENE TEHNOLOGIJE M/Ž,"Opis posla: PREHRAMBENA TEHNOLOGIJA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 11.03.2016, Mjesto rada: BJELOVAR, Općina: BJELOVAR, Županija: BJELOVARSKO-BILOGORSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75074889,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER/ INŽENJER GRAĐEVINE M/Ž STRUČNO OSPOSOBLJAVANJE ZA RAD,"Opis posla: DIPLOMIRANI INŽENJER / INŽENJER GRAĐEVINE M/Ž STRUČNO OSPOSOBLJAVANJE ZA RAD, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 18.03.2016, Mjesto rada: VINKOVCI, Općina: VINKOVCI, Županija: VUKOVARSKO-SRIJEMSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74179872,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA BRODOGRADNJE,"Opis posla: DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA BRODOGRADNJE<BR />
<BR />
PLAN I TEHNOLOGIJA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 07.03.2016, Mjesto rada: RIJEKA, Općina: RIJEKA, Županija: PRIMORSKO-GORANSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75050710,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA ELEKTROTEHNIKE,"Opis posla: DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA ELEKTROTEHNIKE, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 03.04.2016, Mjesto rada: PRELOG, Općina: PRELOG, Županija: MEĐIMURSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75211883,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA GRAĐEVINE,"Opis posla: DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA GRAĐEVINE, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 05.03.2016, Mjesto rada: VARAŽDIN, Općina: VARAŽDIN, Županija: VARAŽDINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74631420,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA GRAĐEVINE,"Opis posla: DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA GRAĐEVINE<BR />
<BR />
VOĐENJE GRADILIŠTA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 16.03.2016, Mjesto rada: RIJEKA, Općina: RIJEKA, Županija: PRIMORSKO-GORANSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75168568,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA GRAĐEVINE,"Opis posla: DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA GRAĐEVINE, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 07.03.2016, Mjesto rada: VARAŽDIN, Općina: VARAŽDIN, Županija: VARAŽDINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75057758,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA STROJARSTVA,"Opis posla: DIPLOMIRANI INŽENJER/DIPLOMIRANA INŽENJERKA STROJARSTVA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 31.03.2016, Mjesto rada: ZAGREB, Općina: GRAD ZAGREB, Županija: GRAD ZAGREB",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74841180,Stručnjaci iz područja informatike i tehničkih znanosti
DJELATNIK/CA U PROIZVODNJI,"Opis posla: DJELATNIK/CA U PROIZVODNJI, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 16.03.2016, Mjesto rada: LUČKO, Općina: GRAD ZAGREB, Županija: GRAD ZAGREB",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74819980,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER/INŽENJERKA RUDARSTVA,"Opis posla: DIPLOMIRANI INŽENJER/INŽENJERKA RUDARSTVA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 07.03.2016, Mjesto rada: SPLIT, Općina: SPLIT, Županija: SPLITSKO-DALMATINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74436328,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER/INŽENJERKA STROJARSTVA,"Opis posla: DIPLOMIRANI INŽENJER/INŽENJERKA STROJARSTVA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 11.03.2016, Mjesto rada: BEDEKOVČINA, Općina: BEDEKOVČINA, Županija: KRAPINSKO-ZAGORSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74694331,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽENJER/KA GRAĐEVINARSTVA,"Opis posla: DIPLOMIRANI INŽENJER/KA GRAĐEVINARSTVA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 07.03.2016, Mjesto rada: SESVETE, Općina: GRAD ZAGREB, Županija: GRAD ZAGREB",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75207644,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI INŽINJER ELEKTROTEHNIKE (M/Ž),"Opis posla: <P>ORGANIZACIJA POGONA ZA PROIZVODNJU PELETA</P>, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 09.03.2016, Mjesto rada: OGULIN, Općina: OGULIN, Županija: KARLOVAČKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75120497,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI STROJARSKI INŽENJER/DIPLOMIRANA STROJARSKA INŽENJERKA,"Opis posla: DIPLOMIRANI STROJARSKI INŽENJER/DIPLOMIRANA STROJARSKA INŽENJERKA<BR />
<BR />
POSLOVI U KLIMATIZACIJI I VENTILACIJI, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 05.03.2016, Mjesto rada: RIJEKA, Općina: RIJEKA, Županija: PRIMORSKO-GORANSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75156192,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI TEHNOLOG/TEHNOLOGINJA PREHRAMBENE TEHNOLOGIJE,"Opis posla: DIPLOMIRANI TEHNOLOG/TEHNOLOGINJA PREHRAMBENE TEHNOLOGIJE, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 10.03.2016, Mjesto rada: VARAŽDIN, Općina: VARAŽDIN, Županija: VARAŽDINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74884094,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI TEHNOLOG/TEHNOLOGINJA PREHRAMBENE TEHNOLOGIJE,"Opis posla: DIPLOMIRANI TEHNOLOG/TEHNOLOGINJA PREHRAMBENE TEHNOLOGIJE, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 10.03.2016, Mjesto rada: DONJI KRALJEVEC, Općina: DONJI KRALJEVEC, Županija: MEĐIMURSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74884954,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI/A INŽENJER/KA ELEKTROTEHNIKE,"Opis posla: DIPLOMIRANI/A INŽENJER/KA ELEKTROTEHNIKE, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 31.03.2016, Mjesto rada: ČAKOVEC, Općina: ČAKOVEC, Županija: MEĐIMURSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74952276,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI/A INŽENJER/KA GRAĐEVINARSTVA,"Opis posla: DIPLOMIRANI/A INŽENJER/KA GRAĐEVINARSTVA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 15.03.2016, Mjesto rada: OSIJEK, Općina: OSIJEK, Županija: OSJEČKO-BARANJSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74779587,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI/A INŽENJER/KA GRAĐEVINE,"Opis posla: DIPLOMIRANI/A INŽENJER/KA GRAĐEVINE, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 26.03.2016, Mjesto rada: PULA-POLA, Općina: PULA-POLA, Županija: ISTARSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74319101,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI/A INŽENJER/KA SIGURNOSTI,"Opis posla: IZRADA DOKUMENATA IZ ZAŠTITE NA RADU, ZAŠTITE OD POŽARA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 15.03.2016, Mjesto rada: PULA-POLA, Općina: PULA-POLA, Županija: ISTARSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75095172,Stručnjaci iz područja informatike i tehničkih znanosti
DIPLOMIRANI/A INŽENJER/KA STROJARSTVA,"Opis posla: DIPLOMIRANI/A INŽENJER/KA STROJARSTVA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 11.03.2016, Mjesto rada: ZAGREB, Općina: GRAD ZAGREB, Županija: GRAD ZAGREB",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75069904,Stručnjaci iz područja informatike i tehničkih znanosti
DIREKTOR TRGOVAČKOG  DRUŠTVA U VLASNIŠTVU  OPĆINE KALI (M/Ž),"Opis posla: <BR />, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 09.03.2016, Mjesto rada: KALI, Općina: KALI, Županija: ZADARSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75145306,Stručnjaci iz područja informatike i tehničkih znanosti
DISPONENET/ICA ZA MEĐUNARODNI PROMET,"Opis posla: <BR />, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 21.03.2016, Mjesto rada: STRAHONINEC, Općina: STRAHONINEC, Županija: MEĐIMURSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74305350,Stručnjaci iz područja informatike i tehničkih znanosti
DIZAJNER / DIZAJNERICA INTERIJERA,"Opis posla: DIZAJNER / DIZAJNERICA INTERIJERA, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 12.03.2016, Mjesto rada: SPLIT, Općina: SPLIT, Županija: SPLITSKO-DALMATINSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=74968033,Stručnjaci iz područja informatike i tehničkih znanosti
DJELATNIK / DJELATNICA ZA TEHNIČKU PODRŠKU,"Opis posla: DJELATNIK ZA TEHNIČKU PODRŠKU, Kategorija: STRUČNJACI IZ PODRUČJA INFORMATIKE I TEHNIČKIH ZNANOSTI, Rok za prijavu: 07.03.2016, Mjesto rada: ČAKOVEC, Općina: ČAKOVEC, Županija: MEĐIMURSKA",http://burzarada.hzz.hr/RadnoMjesto_Ispis.aspx?WebSifra=75073113,Stručnjaci iz područja informatike i tehničkih znanosti
